2016_07_21 00_00,4688,106508,110
2016_07_21 00_10,4688,106508,110
2016_07_21 00_20,4688,106508,110
2016_07_21 00_30,4688,106508,110
2016_07_21 00_40,4688,106508,110
2016_07_21 00_50,4688,106508,110
2016_07_21 01_00,4688,106508,110
2016_07_21 01_10,4688,106508,110
2016_07_21 01_20,4688,106508,110
2016_07_21 01_30,4688,106508,110
2016_07_21 01_40,4688,106508,110
2016_07_21 01_50,4688,106508,110
2016_07_21 02_00,4688,106508,110
2016_07_21 02_10,4688,106508,110
2016_07_21 02_20,4688,106508,110
2016_07_21 02_30,4688,106508,110
2016_07_21 02_40,4688,106508,110
2016_07_21 02_50,4688,106508,110
2016_07_21 03_00,4688,106508,110
2016_07_21 03_10,4688,106508,110
2016_07_21 03_20,5668,107460,110
2016_07_21 03_30,5668,106508,110
2016_07_21 03_40,5668,107460,110
2016_07_21 03_50,5668,107460,110
2016_07_21 04_00,5668,107460,110
2016_07_21 04_10,5668,107460,110
2016_07_21 04_20,5668,107460,110
2016_07_21 04_30,5668,107460,110
2016_07_21 04_40,5668,107460,110
2016_07_21 04_50,5668,107460,110
2016_07_21 05_00,5668,107460,110
2016_07_21 05_10,5668,107460,110
2016_07_21 05_20,5668,107460,110
2016_07_21 05_30,5668,107460,110
2016_07_21 05_40,5668,107460,110
2016_07_21 05_50,5668,107460,110
2016_07_21 06_00,5668,107460,110
2016_07_21 06_10,5668,107460,110
2016_07_21 06_20,5668,107460,110
2016_07_21 06_30,5668,107460,110
2016_07_21 06_40,5668,107460,110
2016_07_21 06_50,5668,107460,110
2016_07_21 07_00,5668,107460,110
2016_07_21 07_10,5668,107460,110
2016_07_21 07_20,5668,107460,110
2016_07_21 07_30,5668,107460,110
2016_07_21 07_40,5668,107460,110
2016_07_21 07_50,5668,107460,110
2016_07_21 08_00,5668,107460,110
2016_07_21 08_10,5668,107460,110
2016_07_21 08_20,5668,107460,110
2016_07_21 08_30,5668,107460,110
2016_07_21 08_40,5668,107460,110
2016_07_21 08_50,5668,107460,110
2016_07_21 09_00,5668,107460,110
2016_07_21 09_10,5668,107460,110
2016_07_21 09_20,5668,107460,110
2016_07_21 09_30,5668,107460,110
2016_07_21 09_40,5668,107460,110
2016_07_21 09_50,5668,107460,110
2016_07_21 10_00,5668,107460,110
2016_07_21 10_10,5668,107460,110
2016_07_21 10_20,5668,107460,110
2016_07_21 10_30,5668,107460,110
2016_07_21 10_40,5668,107460,110
2016_07_21 10_50,5668,107460,110
2016_07_21 11_00,5668,107972,110
2016_07_21 11_10,6203,107460,110
2016_07_21 11_20,6203,107972,110
2016_07_21 11_30,6203,107972,110
2016_07_21 11_40,6203,107972,110
2016_07_21 11_50,6203,107972,110
2016_07_21 12_00,6203,107972,110
2016_07_21 12_10,6203,107972,110
2016_07_21 12_20,6203,107972,110
2016_07_21 12_30,6203,107972,110
2016_07_21 12_40,6203,107972,110
2016_07_21 12_50,6203,107972,110
2016_07_21 13_00,6203,107972,110
2016_07_21 13_10,6203,107972,110
2016_07_21 13_20,6203,107972,110
2016_07_21 13_30,6203,107972,110
2016_07_21 13_40,6203,107972,110
2016_07_21 13_50,6203,107972,110
2016_07_21 14_00,6203,107972,110
2016_07_21 14_10,6203,107972,110
2016_07_21 14_20,6203,107972,110
2016_07_21 14_30,6203,107972,110
2016_07_21 14_40,6203,107972,110
2016_07_21 14_50,6203,107972,110
2016_07_21 15_00,6203,107972,110
2016_07_21 15_10,6203,108570,110
2016_07_21 15_20,6842,108570,110
2016_07_21 15_30,6842,108570,110
2016_07_21 15_40,6842,108570,110
2016_07_21 15_50,6842,108570,110
2016_07_21 16_00,6842,108570,110
2016_07_21 16_10,6842,108570,110
2016_07_21 16_20,6842,108570,110
2016_07_21 16_30,6842,108570,110
2016_07_21 16_40,6842,108570,110
2016_07_21 16_50,6842,108570,110
2016_07_21 17_00,6842,108570,110
2016_07_21 17_10,6842,108570,110
2016_07_21 17_20,6842,108570,110
2016_07_21 17_30,6842,108570,110
2016_07_21 17_40,6842,108570,110
2016_07_21 17_50,6842,108570,110
2016_07_21 18_00,6842,108570,110
2016_07_21 18_10,6842,108570,110
2016_07_21 18_20,6842,108570,110
2016_07_21 18_30,6842,108570,110
2016_07_21 18_40,6842,108570,110
2016_07_21 18_50,6842,108570,110
2016_07_21 19_00,6842,108886,110
2016_07_21 19_10,6842,108886,110
2016_07_21 19_20,7231,108886,110
2016_07_21 19_30,7231,108886,110
2016_07_21 19_40,7231,108886,110
2016_07_21 19_50,7231,108886,110
2016_07_21 20_00,7231,108886,110
2016_07_21 20_10,7231,108886,110
2016_07_21 20_20,7231,108886,110
2016_07_21 20_30,7231,108886,110
2016_07_21 20_40,7231,108886,110
2016_07_21 20_50,7231,108886,110
2016_07_21 21_00,7231,108886,110
