Dates,Total Rating
2016_07_22 13_50,110258
2016_07_22 14_00,110258
2016_07_22 14_10,110258
2016_07_22 14_20,110258
2016_07_22 14_30,110258
2016_07_22 14_40,110258
2016_07_22 14_50,110258
2016_07_22 15_00,110625
2016_07_22 15_10,110625
2016_07_22 15_20,110625
2016_07_22 15_30,110625
2016_07_22 15_40,110625
2016_07_22 15_50,110625
2016_07_22 16_00,110625
2016_07_22 16_10,110625
2016_07_22 16_20,110625
2016_07_22 16_30,110625
2016_07_22 16_40,110625
2016_07_22 16_50,110625
2016_07_22 17_00,110625
2016_07_22 17_10,110625
2016_07_22 17_20,110625
2016_07_22 17_30,110625
2016_07_22 17_40,110625
2016_07_22 17_50,110625
2016_07_22 18_00,110625
2016_07_22 18_10,110625
2016_07_22 18_20,110625
2016_07_22 18_30,110625
2016_07_22 18_40,110625
2016_07_22 18_50,110625
2016_07_22 19_00,110625
2016_07_22 19_10,110625
2016_07_22 19_20,111140
2016_07_22 19_30,111140
2016_07_22 19_40,111140
2016_07_22 19_50,111140
2016_07_22 20_00,111140
2016_07_22 20_10,111140
2016_07_22 20_20,111140
2016_07_22 20_30,111140
2016_07_22 20_40,111140
2016_07_22 20_50,111140
2016_07_22 21_00,111140
2016_07_22 21_10,111140
2016_07_22 21_20,111140
2016_07_22 21_30,111140
2016_07_22 21_40,111140
2016_07_22 21_50,111140
2016_07_22 22_00,111140
2016_07_22 22_10,111140
2016_07_22 22_20,111140
2016_07_22 22_30,111140
2016_07_22 22_40,111140
2016_07_22 22_50,111140
2016_07_22 23_00,111140
2016_07_22 23_10,111547
2016_07_22 23_20,111140
2016_07_22 23_30,111547
2016_07_22 23_40,111547
2016_07_22 23_50,111547
2016_07_23 00_00,111547
2016_07_23 00_10,111547
2016_07_23 00_20,111547
2016_07_23 00_30,111547
2016_07_23 00_40,111547
2016_07_23 00_50,111547
2016_07_23 01_00,111547
2016_07_23 01_10,111547
2016_07_23 01_20,111547
2016_07_23 01_30,111547
2016_07_23 01_40,111547
2016_07_23 01_50,111547
2016_07_23 02_00,111547
2016_07_23 02_10,111547
2016_07_23 02_20,111547
2016_07_23 02_30,111547
2016_07_23 02_40,111547
2016_07_23 02_50,111547
2016_07_23 03_00,111547
2016_07_23 03_10,111547
2016_07_23 03_20,111547
2016_07_23 03_30,111850
2016_07_23 03_40,111850
2016_07_23 03_50,111850
2016_07_23 04_00,111850
2016_07_23 04_10,111850
2016_07_23 04_20,111850
2016_07_23 04_30,111850
2016_07_23 04_40,111850
2016_07_23 04_50,111850
2016_07_23 05_00,111850
2016_07_23 05_10,111850
2016_07_23 05_20,111850
2016_07_23 05_30,111850
2016_07_23 05_40,111850
2016_07_23 05_50,111850
2016_07_23 06_00,111850
2016_07_23 06_10,111850
2016_07_23 06_20,111850
2016_07_23 06_30,111850
2016_07_23 06_40,111850
2016_07_23 06_50,111850
2016_07_23 07_00,111850
2016_07_23 07_10,111850
2016_07_23 07_20,111850
2016_07_23 07_30,111850
2016_07_23 07_40,111850
2016_07_23 07_50,111850
2016_07_23 08_00,111850
2016_07_23 08_10,111850
2016_07_23 08_20,111850
2016_07_23 08_30,111850
2016_07_23 08_40,111850
2016_07_23 08_50,111850
2016_07_23 09_00,111850
2016_07_23 09_10,111850
2016_07_23 09_20,111850
2016_07_23 09_30,111850
2016_07_23 09_40,111850
2016_07_23 09_50,111850
2016_07_23 10_00,111850
2016_07_23 10_10,111850
2016_07_23 10_20,111850
2016_07_23 10_30,111850
2016_07_23 10_40,111850
2016_07_23 10_50,111850
2016_07_23 11_00,111850
2016_07_23 11_10,112152
2016_07_23 11_20,112152
2016_07_23 11_30,112152
2016_07_23 11_40,112152
2016_07_23 11_50,112152
2016_07_23 12_00,112152
2016_07_23 12_10,112152
2016_07_23 12_20,112152
2016_07_23 12_30,112152
2016_07_23 12_40,112152
2016_07_23 12_50,112152
2016_07_23 13_00,112152
2016_07_23 13_10,112152
2016_07_23 13_20,112152
2016_07_23 13_30,112152
2016_07_23 13_40,112152
2016_07_23 13_50,112152
2016_07_23 14_00,112152
2016_07_23 14_10,112152
2016_07_23 14_20,112152
2016_07_23 14_30,112152
2016_07_23 14_40,112152
2016_07_23 14_50,112152
2016_07_23 15_00,112504
2016_07_23 15_10,112504
2016_07_23 15_20,112504
2016_07_23 15_30,112504
2016_07_23 15_40,112504
2016_07_23 15_50,112504
2016_07_23 16_00,112504
2016_07_23 16_10,112504
2016_07_23 16_20,112504
2016_07_23 16_30,112504
2016_07_23 16_40,112504
2016_07_23 16_50,112504
2016_07_23 17_00,112504
2016_07_23 17_10,112504
2016_07_23 17_20,112504
2016_07_23 17_30,112504
2016_07_23 17_40,112504
2016_07_23 17_50,112504
2016_07_23 18_00,112504
2016_07_23 18_10,112504
2016_07_23 18_20,112504
2016_07_23 18_30,112504
2016_07_23 18_40,112504
2016_07_23 18_50,112504
2016_07_23 19_00,112504
2016_07_23 19_10,112856
2016_07_23 19_20,112856
2016_07_23 19_30,112856
2016_07_23 19_40,112856
2016_07_23 19_50,112856
2016_07_23 20_00,112856
2016_07_23 20_10,112856
2016_07_23 20_20,112856
2016_07_23 20_30,112856
2016_07_23 20_40,112856
2016_07_23 20_50,112856
2016_07_23 21_00,112856
2016_07_23 21_10,112856
2016_07_23 21_20,112856
2016_07_23 21_30,112856
2016_07_23 21_40,112856
2016_07_23 21_50,112856
2016_07_23 22_00,112856
2016_07_23 22_10,112856
2016_07_23 22_20,112856
2016_07_23 22_30,112856
2016_07_23 22_40,112856
2016_07_23 22_50,112856
2016_07_23 23_00,112856
2016_07_23 23_10,113230
2016_07_23 23_20,113230
2016_07_23 23_30,113230
2016_07_23 23_40,113230
2016_07_23 23_50,113230
2016_07_24 00_00,113230
2016_07_24 00_10,113230
2016_07_24 00_20,113230
2016_07_24 00_30,113230
2016_07_24 00_40,113230
2016_07_24 00_50,113230
2016_07_24 01_00,113230
2016_07_24 01_10,113230
2016_07_24 01_20,113230
2016_07_24 01_30,113230
2016_07_24 01_40,113230
2016_07_24 01_50,113230
2016_07_24 02_00,113230
2016_07_24 02_10,113230
2016_07_24 02_20,113230
2016_07_24 02_30,113230
2016_07_24 02_40,113230
2016_07_24 02_50,113230
2016_07_24 03_00,113230
2016_07_24 03_10,113230
2016_07_24 03_20,113485
2016_07_24 03_30,113485
2016_07_24 03_40,113485
2016_07_24 03_50,113485
2016_07_24 04_00,113485
2016_07_24 04_10,113485
2016_07_24 04_20,113485
2016_07_24 04_30,113485
2016_07_24 04_40,113485
2016_07_24 04_50,113485
2016_07_24 05_00,113485
2016_07_24 05_10,113485
2016_07_24 05_20,113485
2016_07_24 05_30,113485
2016_07_24 05_40,113485
2016_07_24 05_50,113485
2016_07_24 06_00,113485
2016_07_24 06_10,113485
2016_07_24 06_20,113485
2016_07_24 06_30,113485
2016_07_24 06_40,113485
2016_07_24 06_50,113485
2016_07_24 07_00,113485
2016_07_24 07_10,113485
2016_07_24 07_20,113485
2016_07_24 07_30,113485
2016_07_24 07_40,113485
2016_07_24 07_50,113485
2016_07_24 08_00,113485
2016_07_24 08_10,113485
2016_07_24 08_20,113485
2016_07_24 08_30,113485
2016_07_24 08_40,113485
2016_07_24 08_50,113485
2016_07_24 09_00,113485
2016_07_24 09_10,113485
2016_07_24 09_20,113485
2016_07_24 09_30,113485
2016_07_24 09_40,113485
2016_07_24 09_50,113485
2016_07_24 10_00,113485
2016_07_24 10_10,113485
2016_07_24 10_20,113485
2016_07_24 10_30,113485
2016_07_24 10_40,113485
2016_07_24 10_50,113752
2016_07_24 11_00,113485
2016_07_24 11_10,113752
2016_07_24 11_20,113752
2016_07_24 11_30,113752
2016_07_24 11_40,113752
2016_07_24 11_50,113752
2016_07_24 12_00,113752
2016_07_24 12_10,113752
2016_07_24 12_20,113752
2016_07_24 12_30,113752
2016_07_24 12_40,113752
2016_07_24 12_50,113752
2016_07_24 13_00,113752
2016_07_24 13_10,113752
2016_07_24 13_20,113752
2016_07_24 13_30,113752
2016_07_24 13_40,113752
2016_07_24 13_50,113752
2016_07_24 14_00,113752
2016_07_24 14_10,113752
2016_07_24 14_20,113752
2016_07_24 14_30,113752
2016_07_24 14_40,113752
2016_07_24 14_50,114078
2016_07_24 15_00,113752
2016_07_24 15_10,114078
2016_07_24 15_20,114078
2016_07_24 15_30,114078
2016_07_24 15_40,114078
2016_07_24 15_50,114078
