Dates,Total Rating
2016_07_22 11_20,1389049
2016_07_22 11_30,1389049
2016_07_22 11_40,1389049
2016_07_22 11_50,1389049
2016_07_22 12_00,1389049
2016_07_22 12_10,1402647
2016_07_22 12_20,1402647
2016_07_22 12_30,1402647
2016_07_22 12_40,1402647
2016_07_22 12_50,1402647
2016_07_22 13_00,1402647
2016_07_22 13_10,1402647
2016_07_22 13_20,1402647
2016_07_22 13_30,1402647
2016_07_22 13_40,1402647
2016_07_22 13_50,1402647
2016_07_22 14_00,1402647
2016_07_22 14_10,1402647
2016_07_22 14_20,1402647
2016_07_22 14_30,1402647
2016_07_22 14_40,1402647
2016_07_22 14_50,1402647
2016_07_22 15_00,1402647
2016_07_22 15_10,1402647
2016_07_22 15_20,1402647
2016_07_22 15_30,1402647
2016_07_22 15_40,1402647
2016_07_22 15_50,1402647
2016_07_22 16_00,1402647
2016_07_22 16_10,1414942
2016_07_22 16_20,1414942
2016_07_22 16_30,1414942
2016_07_22 16_40,1414942
2016_07_22 16_50,1414942
2016_07_22 17_00,1414942
2016_07_22 17_10,1414942
2016_07_22 17_20,1414942
2016_07_22 17_30,1414942
2016_07_22 17_40,1414942
2016_07_22 17_50,1414942
2016_07_22 18_00,1414942
2016_07_22 18_10,1414942
2016_07_22 18_20,1414942
2016_07_22 18_30,1414942
2016_07_22 18_40,1414942
2016_07_22 18_50,1414942
2016_07_22 19_00,1414942
2016_07_22 19_10,1414942
2016_07_22 19_20,1414942
2016_07_22 19_30,1414942
2016_07_22 19_40,1414942
2016_07_22 19_50,1414942
2016_07_22 20_00,1414942
2016_07_22 20_10,1424989
2016_07_22 20_20,1424989
2016_07_22 20_30,1424989
2016_07_22 20_40,1424989
2016_07_22 20_50,1424989
2016_07_22 21_00,1424989
2016_07_22 21_10,1424989
2016_07_22 21_20,1424989
2016_07_22 21_30,1424989
2016_07_22 21_40,1424989
2016_07_22 21_50,1424989
2016_07_22 22_00,1424989
2016_07_22 22_10,1424989
2016_07_22 22_20,1424989
2016_07_22 22_30,1424989
2016_07_22 22_40,1424989
2016_07_22 22_50,1424989
2016_07_22 23_00,1424989
2016_07_22 23_10,1424989
2016_07_22 23_20,1424989
2016_07_22 23_30,1424989
2016_07_22 23_40,1424989
2016_07_22 23_50,1424989
2016_07_23 00_00,1424989
2016_07_23 00_10,1424989
2016_07_23 00_20,1431662
2016_07_23 00_30,1431662
2016_07_23 00_40,1431662
2016_07_23 00_50,1431662
2016_07_23 01_00,1431662
2016_07_23 01_10,1431662
2016_07_23 01_20,1431662
2016_07_23 01_30,1431662
2016_07_23 01_40,1431662
2016_07_23 01_50,1431662
2016_07_23 02_00,1431662
2016_07_23 02_10,1431662
2016_07_23 02_20,1431662
2016_07_23 02_30,1431662
2016_07_23 02_40,1431662
2016_07_23 02_50,1431662
2016_07_23 03_00,1431662
2016_07_23 03_10,1431662
2016_07_23 03_20,1431662
2016_07_23 03_30,1431662
2016_07_23 03_40,1431662
2016_07_23 03_50,1431662
2016_07_23 04_00,1431662
2016_07_23 04_10,1431662
2016_07_23 04_20,1439453
2016_07_23 04_30,1439453
2016_07_23 04_40,1439453
2016_07_23 04_50,1439453
2016_07_23 05_00,1439453
2016_07_23 05_10,1439453
2016_07_23 05_20,1439453
2016_07_23 05_30,1439453
2016_07_23 05_40,1439453
2016_07_23 05_50,1439453
2016_07_23 06_00,1439453
2016_07_23 06_10,1439453
2016_07_23 06_20,1439453
2016_07_23 06_30,1439453
2016_07_23 06_40,1439453
2016_07_23 06_50,1439453
2016_07_23 07_00,1439453
2016_07_23 07_10,1439453
2016_07_23 07_20,1439453
