2016_07_21 00_00,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 00_10,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 00_20,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 00_30,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 00_40,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 00_50,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 01_00,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 01_10,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 01_20,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 01_30,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 01_40,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 01_50,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 02_00,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 02_10,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 02_20,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 02_30,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 02_40,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 02_50,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 03_00,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 03_10,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 03_20,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 03_30,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 03_40,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 03_50,3.9,1281802,58,"726597, 165956, 117754, 71521, 199974"
2016_07_21 04_00,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 04_10,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 04_20,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 04_30,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 04_40,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 04_50,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 05_00,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 05_10,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 05_20,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 05_30,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 05_40,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 05_50,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 06_00,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 06_10,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 06_20,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 06_30,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 06_40,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 06_50,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 07_00,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 07_10,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 07_20,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 07_30,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 07_40,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 07_50,3.9,1292537,58,"732956, 167748, 118795, 71943, 201095"
2016_07_21 08_00,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 08_10,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 08_20,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 08_30,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 08_40,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 08_50,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 09_00,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 09_10,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 09_20,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 09_30,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 09_40,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 09_50,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 10_00,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 10_10,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 10_20,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 10_30,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 10_40,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 10_50,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 11_00,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 11_10,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 11_20,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 11_30,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 11_40,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 11_50,3.9,1305525,58,"740436, 169779, 119998, 72566, 202746"
2016_07_21 12_00,3.9,1319394,58,"748562, 171872, 121282, 73093, 204585"
2016_07_21 12_10,3.9,1319394,58,"748562, 171872, 121282, 73093, 204585"
